"","Province.State","Country.Region","Lat","Long","intercept","coef","int.low","int.upp","coef.low","coef.upp"
"1","","Japan",36,138,2.47720042431015,0.155786829755558,2.14031273251239,2.79019438767163,0.0892320666407184,0.223803695017185
"2","","Singapore",1.2833,103.8333,2.41796218334565,0.141209377249344,2.06590655359605,2.74386019149929,0.0709296069811942,0.212976847832136
"3","","Malaysia",2.5,112.5,2.33684647005466,0.0858918684608932,1.95145209231899,2.69048843927947,0.00527786765705081,0.167715432263881
"4","New South Wales","Australia",-33.8688,151.2093,2.71100041422846,0.185733625296349,2.42073154501585,2.98357213671788,0.129404387281418,0.243289692750128
"5","","Germany",51,9,2.37969489648121,0.0350319108690218,1.98692811635835,2.7389887498986,-0.0514404275147486,0.122073257229069
"6","","Finland",64,26,2.40288307991388,0.253635287693903,2.08482573377434,2.70046613018524,0.195087973652369,0.313914924101466
"7","","India",21,78,3.23020010731866,0.122544679363199,2.99489975248705,3.45342226476087,0.0740660706500328,0.171638588528909
"8","","Italy",43,12,4.07269185758745,0.398290962412041,3.95747468651364,4.18532761907531,0.378111164404624,0.418744615710946
"9","","Sweden",63,16,2.0791258340731,0.431494356943796,1.77403902286882,2.36712879062378,0.380314362272238,0.484545487372337
"10","","Spain",40,-4,2.67612051368728,0.400228465551072,2.44237775922015,2.89949438883061,0.360056802053339,0.441502504509382
"11","","Belgium",50.8333,4,3.44782633933404,0.334440658843808,3.27730750469983,3.61253263605606,0.303875074245494,0.365576505672565
"12","","Egypt",26,30,3.17348483585187,0.185632513146254,2.94463596486974,3.39118509558964,0.14083855838849,0.231198855373296
"13","","Lebanon",33.8547,35.8623,2.24794530199642,0.158860060232552,1.86949168877195,2.59655427970799,0.0846914909381659,0.234881606100484
"14","","Iraq",33,44,2.81985341137292,0.162716752721858,2.53946538965833,3.08353136259482,0.107222874544464,0.219265787478857
"15","","Bahrain",26.0275,50.55,3.302046297628,0.0955579493596074,3.07001874778348,3.52220139234496,0.0465487492912984,0.145061443727409
"16","","Kuwait",29.5,47.75,3.16931504295295,0.140068526945159,2.93023527479688,3.39602119150526,0.0915785204782542,0.189257573654214
"17","","Switzerland",46.8182,8.2275,2.90952175166888,0.389161764512943,2.69920214810866,3.11134997755803,0.352702854068451,0.42651295140818
"18","","Austria",47.5162,14.5501,2.51758906632234,0.303267683762233,2.23341040210418,2.78571915081688,0.25230295390621,0.355731751452315
"19","","Israel",31,35,1.97343823739992,0.30181535434906,1.59632825231639,2.32279629713474,0.235030692118338,0.371187163338682
"20","","Brazil",-14.235,-51.9253,2.01199326448547,0.392012691568858,1.67983028793832,2.32350869690897,0.33554144750605,0.450660867971326
"21","","Greece",39.0742,21.8243,3.63919653458808,0.153966544212406,3.45354110053735,3.8173439361315,0.116475102377776,0.191913176861839
"22","","Norway",60.472,8.4689,2.60930794788551,0.345328823815282,2.35088188414803,2.85469984405964,0.299877450955493,0.392078893818003
"23","","Estonia",58.5953,25.0136,1.48222598911885,0.350884139669591,1.02218502910047,1.90270380659584,0.272534097899111,0.433208578428889
"24","","Netherlands",52.1326,5.2913,2.44831044330023,0.457008219817074,2.20421500819415,2.6815271684269,0.416110172782079,0.499122906419923
"25","","Iceland",64.9631,-19.0208,3.04147037318073,0.179402961679439,2.79514583353429,3.27489295181948,0.131072323039195,0.228606646535132
"26","","Ireland",53.1424,-7.6921,2.52414512847789,0.253917590581864,2.22548173442918,2.80468394277169,0.198798089285704,0.310571488040754
"27","","Portugal",39.3999,-8.2245,2.64471786743071,0.279031662270303,2.37139879023949,2.90296825915023,0.229213847049647,0.330195566635671
"28","Hubei","China",30.9756,112.2707,5.65971569872073,0.370901381197847,5.60621913661989,5.71263911686184,0.361317943731443,0.380543800652619
"29","","Iran",32,53,2.78730568337903,0.449986511061344,2.58009033621961,2.98658978681,0.414979317071124,0.485875772249631
"30","","Korea, South",36,128,2.3940507348708,0.113732252148801,2.02879256675711,2.73094153357264,0.039133564335458,0.189693717436371
"31","France","France",46.2276,2.2137,2.3828287045765,0.00749109206987826,1.98229629674826,2.74832749106436,-0.0833251218531249,0.0984410780528459
"32","Guangdong","China",23.3417,113.4244,3.30146926077492,0.336703255311951,3.11823330986981,3.47801933613488,0.303961139586143,0.370103465109834
"33","Henan","China",33.882,113.614,4.15274320679936,0.282076641154872,4.02649524539656,4.27568120289004,0.258600177182748,0.305850461488059
"34","Zhejiang","China",29.1832,120.0934,2.88505134458276,0.396963006656639,2.67412111742724,3.0874830575096,0.360533175509269,0.434293288110964
"35","Hunan","China",27.6104,111.7088,3.55910309940238,0.336578992725022,3.39835568239168,3.71468116876506,0.307755091350712,0.365911607141295
"36","Anhui","China",31.8257,117.2264,3.32314946944211,0.320183391399711,3.13851511524652,3.50093355466975,0.286899754310586,0.354124860261252
"37","Jiangxi","China",27.614,115.7221,2.99767984882042,0.356590951072487,2.78860913704007,3.19819118824552,0.319761807039218,0.394285628624126
"38","Shandong","China",36.3427,118.1498,3.23130910634216,0.301337324072305,3.03375245857351,3.42096223921544,0.265409152517505,0.338001247937087
"39","Diamond Princess","Cruise Ship",35.4437,139.638,4.07778991974592,0.193639642138006,3.93458945074867,4.21655843697811,0.165438204440197,0.222157022623729
"40","Jiangsu","China",32.9711,119.455,3.26001418285919,0.305260692730498,3.06616410924012,3.44626493657692,0.27006736247946,0.341166244434852
"41","Chongqing","China",30.0572,107.874,3.82794997574858,0.229885195436033,3.67093567718501,3.97974126851591,0.199819952234114,0.260366635814564
